model,prompt,num_sentences,num_words,avg_sentence_length,readability_score,code_blocks,structure_score,specificity_score
base,Explain how recursion works in programming.,29,543,18.724137931034484,-0.12604689754689755,0,48.2,0.27806563039723664
finetuned,Explain how recursion works in programming.,28,575,20.535714285714285,-0.031392450142450144,2,28.0,0.20297029702970298
base,What is the difference between a list and a tuple in Python?,15,371,24.733333333333334,-0.16711309523809526,2,19.3,0.24083769633507854
finetuned,What is the difference between a list and a tuple in Python?,8,183,22.875,-0.040625,0,7.8,0.24861878453038674
base,How do I calculate the volume of a sphere?,12,211,17.583333333333332,-0.22692307692307695,0,2.4,0.25462962962962965
finetuned,How do I calculate the volume of a sphere?,1,66,66.0,-0.575,0,1.9,0.2638888888888889
base,Explain the process of writing a binary search algorithm.,21,497,23.666666666666668,0.003518518518518528,2,20.2,0.21264367816091953
finetuned,Explain the process of writing a binary search algorithm.,23,526,22.869565217391305,0.04118326118326117,2,27.3,0.2601054481546573
base,How would you debug a program that's running slowly?,14,442,31.571428571428573,0.08541666666666665,0,31.0,0.31262939958592134
finetuned,How would you debug a program that's running slowly?,21,326,15.523809523809524,0.1578019323671498,0,12.6,0.2507462686567164
base,What steps would you take to optimize a database query?,29,508,17.517241379310345,0.10157142857142856,0,28.7,0.29714285714285715
finetuned,What steps would you take to optimize a database query?,29,513,17.689655172413794,0.130568356374808,0,22.3,0.2565543071161049
base,Why do we need version control systems?,18,364,20.22222222222222,0.02931818181818182,0,17.2,0.2955145118733509
finetuned,Why do we need version control systems?,18,294,16.333333333333332,0.03044077134986226,0,12.6,0.3050847457627119
base,What is the purpose of object-oriented programming?,21,349,16.61904761904762,0.02070851370851371,0,19.5,0.22589531680440772
finetuned,What is the purpose of object-oriented programming?,15,249,16.6,0.08987293570626903,0,12.9,0.21235521235521235
base,Show me how to implement a simple linked list.,1,134,134.0,0.0,0,3.5,0.3333333333333333
finetuned,Show me how to implement a simple linked list.,4,428,107.0,0.05072150072150072,4,10.5,0.24778761061946902
base,Write a function to check if a string is a palindrome.,4,91,22.75,-0.10000000000000003,0,2.9,0.26881720430107525
finetuned,Write a function to check if a string is a palindrome.,3,117,39.0,0.03333333333333332,2,2.6,0.226890756302521
base,How do I properly handle exceptions in Python?,21,707,33.666666666666664,0.17928571428571427,12,48.4,0.22265122265122264
finetuned,How do I properly handle exceptions in Python?,6,188,31.333333333333332,0.05357142857142857,6,2.3,0.15270935960591134
base,What's the best way to validate user input?,32,441,13.78125,0.21562500000000004,0,32.4,0.3
finetuned,What's the best way to validate user input?,24,462,19.25,0.06946849446849447,2,21.8,0.2961460446247465
base,What are some Python coding best practices?,35,578,16.514285714285716,0.21502267573696146,0,37.4,0.24058919803600654
finetuned,What are some Python coding best practices?,31,507,16.35483870967742,0.2859447004608295,0,23.0,0.24007561436672967
base,How should I structure a large Python project?,17,532,31.294117647058822,0.09285714285714285,4,25.1,0.32642487046632124
finetuned,How should I structure a large Python project?,25,461,18.44,0.10914021164021163,2,28.6,0.28107074569789675
